utc_timestamp,cet_cest_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_washing_machine
2014-12-11T18:00:00Z,2014-12-11T19:00:00+0100,0.06,0.00,0.02,0.00
2014-12-11T19:00:00Z,2014-12-11T20:00:00+0100,0.13,0.01,0.06,0.00
2014-12-11T20:00:00Z,2014-12-11T21:00:00+0100,0.20,0.01,0.10,0.00
2014-12-11T21:00:00Z,2014-12-11T22:00:00+0100,0.27,0.01,0.11,0.00
2014-12-11T22:00:00Z,2014-12-11T23:00:00+0100,0.31,0.01,0.15,0.00
2014-12-11T23:00:00Z,2014-12-12T00:00:00+0100,0.37,0.02,0.19,0.00
2014-12-12T00:00:00Z,2014-12-12T01:00:00+0100,0.44,0.02,0.20,0.00
2014-12-12T01:00:00Z,2014-12-12T02:00:00+0100,0.51,0.02,0.23,0.00
2014-12-12T02:00:00Z,2014-12-12T03:00:00+0100,0.58,0.02,0.27,0.00
2014-12-12T03:00:00Z,2014-12-12T04:00:00+0100,0.65,0.03,0.30,0.00
2014-12-12T04:00:00Z,2014-12-12T05:00:00+0100,0.72,0.03,0.31,0.00
2014-12-12T05:00:00Z,2014-12-12T06:00:00+0100,0.79,0.03,0.35,0.00
2014-12-12T06:00:00Z,2014-12-12T07:00:00+0100,0.86,0.08,0.39,0.00
2014-12-12T07:00:00Z,2014-12-12T08:00:00+0100,0.93,1.29,0.39,0.00
2014-12-12T08:00:00Z,2014-12-12T09:00:00+0100,1.02,1.30,0.43,0.00
2014-12-12T09:00:00Z,2014-12-12T10:00:00+0100,1.14,1.30,0.47,0.00
2014-12-12T10:00:00Z,2014-12-12T11:00:00+0100,1.26,1.30,0.49,0.00
2014-12-12T11:00:00Z,2014-12-12T12:00:00+0100,1.37,1.31,0.51,0.00
2014-12-12T12:00:00Z,2014-12-12T13:00:00+0100,1.47,1.31,0.55,0.00
2014-12-12T13:00:00Z,2014-12-12T14:00:00+0100,1.54,1.31,0.59,0.00
2014-12-12T14:00:00Z,2014-12-12T15:00:00+0100,1.62,1.31,0.59,0.00
2014-12-12T15:00:00Z,2014-12-12T16:00:00+0100,1.69,1.32,0.63,0.00
2014-12-12T16:00:00Z,2014-12-12T17:00:00+0100,1.76,1.32,0.67,0.00
2014-12-12T17:00:00Z,2014-12-12T18:00:00+0100,1.82,1.33,0.68,0.00
2014-12-12T18:00:00Z,2014-12-12T19:00:00+0100,1.89,2.50,0.71,0.00
