Time Stamp,pump
11-12-2014 18:00:00,0.06
11-12-2014 19:00:00,0.07
11-12-2014 20:00:00,0.07
11-12-2014 21:00:00,0.07
11-12-2014 22:00:00,0.04
11-12-2014 23:00:00,0.06
12-12-2014 00:00:00,0.07
12-12-2014 01:00:00,0.07
12-12-2014 02:00:00,0.07
12-12-2014 03:00:00,0.07
12-12-2014 04:00:00,0.07
12-12-2014 05:00:00,0.07
12-12-2014 06:00:00,0.07
12-12-2014 07:00:00,0.07
12-12-2014 08:00:00,0.09
12-12-2014 09:00:00,0.12
12-12-2014 10:00:00,0.12
12-12-2014 11:00:00,0.11
12-12-2014 12:00:00,0.1
12-12-2014 13:00:00,0.07
12-12-2014 14:00:00,0.08
12-12-2014 15:00:00,0.07
12-12-2014 16:00:00,0.07
12-12-2014 17:00:00,0.06
12-12-2014 18:00:00,0.07
12-12-2014 19:00:00,0.07
12-12-2014 20:00:00,0.07
12-12-2014 21:00:00,0.07
12-12-2014 22:00:00,0.04
12-12-2014 23:00:00,0.06
13-12-2014 00:00:00,0.07
13-12-2014 01:00:00,0.06
13-12-2014 02:00:00,0.08
13-12-2014 03:00:00,0.06
13-12-2014 04:00:00,0.07
13-12-2014 05:00:00,0.07
13-12-2014 06:00:00,0.07
13-12-2014 07:00:00,0.07
13-12-2014 08:00:00,0.07
13-12-2014 09:00:00,0.09
13-12-2014 10:00:00,0.11
13-12-2014 11:00:00,0.11
13-12-2014 12:00:00,0.12
13-12-2014 13:00:00,0.1
13-12-2014 14:00:00,0.1
13-12-2014 15:00:00,0.07
13-12-2014 16:00:00,0.07
13-12-2014 17:00:00,0.07
13-12-2014 18:00:00,0.07
13-12-2014 19:00:00,0.06
13-12-2014 20:00:00,0.07
13-12-2014 21:00:00,0.07
13-12-2014 22:00:00,0.04
13-12-2014 23:00:00,0.06
14-12-2014 00:00:00,0.07
14-12-2014 01:00:00,0.06
14-12-2014 02:00:00,0.07
14-12-2014 03:00:00,0.07
14-12-2014 04:00:00,0.07
14-12-2014 05:00:00,0.07
14-12-2014 06:00:00,0.07
14-12-2014 07:00:00,0.07
14-12-2014 08:00:00,0.07
14-12-2014 09:00:00,0.07
14-12-2014 10:00:00,0.11
14-12-2014 11:00:00,0.1
14-12-2014 12:00:00,0.09
14-12-2014 13:00:00,0.08
14-12-2014 14:00:00,0.07
14-12-2014 15:00:00,0.08
14-12-2014 16:00:00,0.06
14-12-2014 17:00:00,0.07
14-12-2014 18:00:00,0.07
14-12-2014 19:00:00,0.06
14-12-2014 20:00:00,0.07
14-12-2014 21:00:00,0.07
14-12-2014 22:00:00,0.04
14-12-2014 23:00:00,0.05
15-12-2014 00:00:00,0.07
15-12-2014 01:00:00,0.06
15-12-2014 02:00:00,0.07
15-12-2014 03:00:00,0.07
